Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Bombas,2047-09-07,2047-09-07 04:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,6,4
Tamices o Cribas,2047-10-07,2047-10-07 04:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,6,4
Bombas,2047-11-16,2047-11-16 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,8,6
Prensas,2047-12-21,2047-12-21 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,6,4
Tamices o Cribas,2048-01-20,2048-01-20 06:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,4,6
Bombas,2048-02-29,2048-03-01 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,24,26
Bombas,2048-04-09,2048-04-10 02:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,24,26
Prensas,2048-05-14,2048-05-14 05:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,6,5
Tamices o Cribas,2048-06-13,2048-06-13 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,24,22
Bombas,2048-07-23,2048-07-23 10:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,8,10
Prensas,2048-08-27,2048-08-28 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,48,46
Digestores,2048-10-26,2048-10-26 11:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Falla mecánica,12,11
Lavadoras de Pulpa,2048-12-10,2048-12-12 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,48,48
Tamices o Cribas,2049-01-09,2049-01-09 10:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,12,10
Bombas,2049-02-18,2049-02-20 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,48,48
Digestores,2049-04-19,2049-04-22 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,72,74
Prensas,2049-05-24,2049-05-24 06:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,6,6
Tamices o Cribas,2049-06-23,2049-06-25 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,48,49
Lavadoras de Pulpa,2049-08-07,2049-08-07 05:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,6,5
Lavadoras de Pulpa,2049-09-21,2049-09-24 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,72,72
Tamices o Cribas,2049-10-21,2049-10-21 07:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,6,7
Digestores,2049-12-20,2049-12-20 05:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,4,5
Bombas,2050-01-29,2050-01-29 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,6,6
Digestores,2050-03-30,2050-03-31 01:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,24,25
Lavadoras de Pulpa,2050-05-14,2050-05-14 03:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Error humano,4,3
Digestores,2050-07-13,2050-07-13 08:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,6,8
Lavadoras de Pulpa,2050-08-27,2050-08-29 00:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,48,48
Tamices o Cribas,2050-09-26,2050-09-26 08:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,8,8
Digestores,2050-11-25,2050-11-28 00:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,72,72
Bombas,2051-01-04,2051-01-04 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,8,8
Tamices o Cribas,2051-02-03,2051-02-03 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,6,8
Lavadoras de Pulpa,2051-03-20,2051-03-20 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,8,10
Prensas,2051-04-24,2051-04-24 11:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,12,11
Prensas,2051-05-29,2051-05-29 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,24,22
Prensas,2051-07-03,2051-07-03 11:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,12,11
Bombas,2051-08-12,2051-08-12 03:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Condiciones operativas extremas,4,3
Prensas,2051-09-16,2051-09-16 03:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,4,3
Digestores,2051-11-15,2051-11-15 04:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,4,4
Prensas,2051-12-20,2051-12-20 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,6,7
Digestores,2052-02-18,2052-02-18 10:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,8,10
Refinadores,2052-04-08,2052-04-10 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,72,71
Refinadores,2052-05-28,2052-05-29 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,48,47
Prensas,2052-07-02,2052-07-04 00:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,48,48
Tamices o Cribas,2052-08-01,2052-08-01 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,8,8
Refinadores,2052-09-20,2052-09-20 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,6,5
Bombas,2052-10-30,2052-10-30 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Desgaste natural,8,6
Prensas,2052-12-04,2052-12-04 04:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,6,4
Digestores,2053-02-02,2053-02-03 23:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,48,47
Bombas,2053-03-14,2053-03-14 06:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,4,6
Refinadores,2053-05-03,2053-05-03 11:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,12,11
Tamices o Cribas,2053-06-02,2053-06-02 23:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,24,23
Refinadores,2053-07-22,2053-07-23 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,48,47
Digestores,2053-09-20,2053-09-20 04:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,6,4
Prensas,2053-10-25,2053-10-25 11:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,12,11
Lavadoras de Pulpa,2053-12-09,2053-12-09 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,8,10
Bombas,2054-01-18,2054-01-18 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,4,2
Prensas,2054-02-22,2054-02-23 01:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,24,25
Bombas,2054-04-03,2054-04-04 22:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,48,46
Tamices o Cribas,2054-05-03,2054-05-06 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,72,74
Refinadores,2054-06-22,2054-06-24 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,72,71
Refinadores,2054-08-11,2054-08-11 09:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,8,9
Bombas,2054-09-20,2054-09-20 04:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,4,4
Bombas,2054-10-30,2054-10-30 06:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Fatiga del material,6,6
Lavadoras de Pulpa,2054-12-14,2054-12-15 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,24,25
Prensas,2055-01-18,2055-01-18 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,6,7
Tamices o Cribas,2055-02-17,2055-02-17 05:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,4,5
Digestores,2055-04-18,2055-04-18 03:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,4,3
Bombas,2055-05-28,2055-05-29 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Corrosión,24,24
Refinadores,2055-07-17,2055-07-17 08:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,8,8
Digestores,2055-09-15,2055-09-15 05:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Corrosión,6,5
Prensas,2055-10-20,2055-10-20 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,6,7
Lavadoras de Pulpa,2055-12-04,2055-12-04 07:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,6,7
Digestores,2056-02-02,2056-02-02 22:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,24,22
Digestores,2056-04-02,2056-04-02 08:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,8,8
Bombas,2056-05-12,2056-05-12 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,4,6
Bombas,2056-06-21,2056-06-23 02:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Desgaste natural,48,50
Tamices o Cribas,2056-07-21,2056-07-21 07:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,6,7
Tamices o Cribas,2056-08-20,2056-08-20 05:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,4,5
Prensas,2056-09-24,2056-09-24 06:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,8,6
Prensas,2056-10-29,2056-10-29 12:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,12,12
Prensas,2056-12-03,2056-12-04 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,24,24
Tamices o Cribas,2057-01-02,2057-01-02 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,6,7
Digestores,2057-03-03,2057-03-03 04:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,6,4
Lavadoras de Pulpa,2057-04-17,2057-04-20 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,72,72
Prensas,2057-05-22,2057-05-22 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,4,2
Digestores,2057-07-21,2057-07-21 03:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,4,3
Bombas,2057-08-30,2057-08-30 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,8,8
Bombas,2057-10-09,2057-10-09 08:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,8,8
Lavadoras de Pulpa,2057-11-23,2057-11-23 14:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,12,14
Digestores,2058-01-22,2058-01-25 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Fatiga del material,72,72
Refinadores,2058-03-13,2058-03-14 22:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,48,46
Digestores,2058-05-12,2058-05-13 00:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,24,24
Digestores,2058-07-11,2058-07-11 11:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Condiciones operativas extremas,12,11
Lavadoras de Pulpa,2058-08-25,2058-08-25 07:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,8,7
Digestores,2058-10-24,2058-10-26 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,48,50
Refinadores,2058-12-13,2058-12-13 14:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,12,14
Prensas,2059-01-17,2059-01-20 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,72,73
Refinadores,2059-03-08,2059-03-08 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,6,6
Tamices o Cribas,2059-04-07,2059-04-07 13:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,12,13
Lavadoras de Pulpa,2059-05-22,2059-05-22 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,8,10
Refinadores,2059-07-11,2059-07-12 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,48,47
Bombas,2059-08-20,2059-08-22 23:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Corrosión,72,71
Bombas,2059-09-29,2059-09-29 11:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,12,11
Prensas,2059-11-03,2059-11-04 23:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,48,47
Digestores,2060-01-02,2060-01-05 01:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,72,73
Tamices o Cribas,2060-02-01,2060-02-01 13:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,12,13
Refinadores,2060-03-22,2060-03-22 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,24,23
Digestores,2060-05-21,2060-05-21 04:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,6,4
Bombas,2060-06-30,2060-06-30 22:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,24,22
Bombas,2060-08-09,2060-08-11 22:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,72,70
Bombas,2060-09-18,2060-09-18 23:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,24,23
Bombas,2060-10-28,2060-10-30 22:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,72,70
Digestores,2060-12-27,2060-12-29 00:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Falla mecánica,48,48
Prensas,2061-01-31,2061-01-31 06:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Fatiga del material,4,6
Digestores,2061-04-01,2061-04-01 10:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Falla mecánica,12,10
Prensas,2061-05-06,2061-05-06 04:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,4,4
Refinadores,2061-06-25,2061-06-25 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Mantenimiento insuficiente,6,6
Bombas,2061-08-04,2061-08-06 23:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,72,71
Tamices o Cribas,2061-09-03,2061-09-03 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,8,6
Tamices o Cribas,2061-10-03,2061-10-03 12:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Fatiga del material,12,12
Tamices o Cribas,2061-11-02,2061-11-02 05:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,4,5
Bombas,2061-12-12,2061-12-12 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Mantenimiento insuficiente,4,2
Prensas,2062-01-16,2062-01-16 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,8,7
Refinadores,2062-03-07,2062-03-07 22:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,24,22
